,No skill,RUS,RUS(strategy),TL,ENN,ADASYN,SMOTE,SMOTETomek,SMOTEENN,Cost Sensitive Learning
LR,0.28315911730545873,0.8409988385598142,0.49953542392566785,0.29767711962833915,0.40371660859465736,0.8794425087108013,0.8409988385598142,0.8361207897793264,0.8506387921022067,0.8313588850174216
SVM,0.43704994192799074,0.8221835075493613,0.5815331010452962,0.45133565621370497,0.5430894308943089,0.8849012775842043,0.8562137049941928,0.8562137049941928,0.8753774680603948,0.8657375145180023
RF,0.5284552845528455,0.8607433217189314,0.6202090592334495,0.5428571428571428,0.5765389082462253,0.716376306620209,0.7069686411149825,0.697444831591173,0.7596980255516842,0.4758420441347271
XGBoost,0.5815331010452962,0.8797909407665505,0.654006968641115,0.5910569105691057,0.6587688734030197,0.7361207897793263,0.7454123112659697,0.7360046457607432,0.7933797909407666,0.6536585365853659
