,No skill,RUS,RUS(strategy),TL,ENN,ADASYN,SMOTE,SMOTETomek,SMOTEENN,Cost Sensitive Learning
LR,0.9116334922842922,0.9147900767632429,0.911458427203949,0.9116663633255191,0.9117640820992265,0.9135771958033002,0.9163005247889707,0.9155803032912175,0.9155324552823986,0.9167190810328603
SVM,0.8729056657531388,0.9425026011721132,0.9104138851583802,0.8771015109157195,0.8892412604139629,0.9493817804763843,0.9528367549067683,0.9512476062893163,0.9512091396561072,0.9551156944170802
RF,0.9427579165056589,0.9443853405255455,0.9443788992470298,0.9448005917060499,0.9468191196092952,0.9325892626994641,0.9395117452580195,0.9412493004806407,0.938275947887402,0.9100303535458891
XGBoost,0.9274952387834864,0.9377051404174033,0.9340763790113262,0.9272735901830998,0.9337220239360411,0.9165036017928465,0.9100114302186301,0.913999455051624,0.9306976449400681,0.8905625214914978
